Date,Customer_Name,Email,Product_Category,Price,Quantity,Total_Amount,Status
2024-04-24,Omar Farouk,test.a@web.net,Electronics,2621.0,5,13105.0,Cancelled
2024-12-22,Zainab Tarek,test.a@web.net,Clothing,3464.0,7,24248.0,Completed
2024-11-05,Huda Mansour,sales@hub.com,Clothing,2236.0,6,13416.0,Refunded
2024-05-13,Marwan Khaled,user1@mail.com,Groceries,2030.0,3,6090.0,Cancelled
2024-07-02,Layla Mohamed,test.a@web.net,Office Supplies,1734.0,7,12138.0,Cancelled
2024-08-28,Zainab Tarek,m.zaki@mail.com,Clothing,4822.0,2,9644.0,Refunded
2024-08-11,Ahmed Ali,info@market.eg,Electronics,4182.0,6,25092.0,Pending
2024-10-07,Marwan Khaled,test.a@web.net,Groceries,1926.0,5,9630.0,Shipped
2024-03-10,Layla Mohamed,sales@hub.com,Clothing,3381.0,4,13524.0,Completed
2024-06-10,Sara Ahmed,m.zaki@mail.com,Home Decor,287.0,1,287.0,Refunded
2024-08-27,Omar Farouk,contact@service.org,Office Supplies,279.0,4,1116.0,Pending
2024-06-19,Mona Zaki,contact@service.org,Home Decor,4266.0,10,42660.0,Pending
2024-08-08,Ali Hassan,sales@hub.com,Electronics,3246.0,10,32460.0,Pending
2024-05-13,Huda Mansour,sales@hub.com,Groceries,647.0,7,4529.0,Cancelled
2024-09-08,Mona Zaki,user1@mail.com,Books,1076.0,10,10760.0,Refunded
2024-12-17,Marwan Khaled,yomna.dev@email.com,Electronics,2157.0,6,12942.0,Completed
2024-10-26,Layla Mohamed,contact@service.org,Office Supplies,3257.0,5,16285.0,Completed
2024-11-21,Ahmed Ali,yomna.dev@email.com,Groceries,3836.0,3,11508.0,Shipped
2024-02-09,Zainab Tarek,m.zaki@mail.com,Books,3695.0,10,36950.0,Refunded
2024-02-20,Ahmed Ali,test.a@web.net,Clothing,4748.0,10,47480.0,Cancelled
2024-08-25,Layla Mohamed,user1@mail.com,Electronics,324.0,3,972.0,Shipped
2024-09-21,Huda Mansour,yomna.dev@email.com,Books,2244.0,5,11220.0,Refunded
2024-03-27,Ali Hassan,contact@service.org,Books,2236.0,4,8944.0,Completed
2024-02-05,Ahmed Ali,contact@service.org,Electronics,1428.0,3,4284.0,Shipped
2024-07-09,Marwan Khaled,admin@tech.io,Home Decor,3361.0,3,10083.0,Cancelled
2024-02-25,Huda Mansour,test.a@web.net,Books,2800.0,3,8400.0,Shipped
2024-03-16,Marwan Khaled,yomna.dev@email.com,Books,1879.0,6,11274.0,Cancelled
2024-01-20,Layla Mohamed,contact@service.org,Electronics,397.0,6,2382.0,Pending
2024-08-04,Marwan Khaled,contact@service.org,Electronics,3044.0,1,3044.0,Cancelled
2024-10-27,Omar Farouk,yomna.dev@email.com,Office Supplies,486.0,10,4860.0,Shipped
2024-07-26,Huda Mansour,admin@tech.io,Books,4117.0,8,32936.0,Completed
2024-05-28,Omar Farouk,m.zaki@mail.com,Electronics,2197.0,8,17576.0,Refunded
2024-01-23,Huda Mansour,contact@service.org,Groceries,628.0,8,5024.0,Completed
2024-03-19,Zainab Tarek,sales@hub.com,Home Decor,2961.0,10,29610.0,Completed
2024-11-03,Ali Hassan,sales@hub.com,Office Supplies,4782.0,7,33474.0,Cancelled
2024-12-11,Huda Mansour,user1@mail.com,Groceries,2993.0,5,14965.0,Refunded
2024-07-21,Omar Farouk,contact@service.org,Books,3930.0,8,31440.0,Completed
2024-03-20,Layla Mohamed,info@market.eg,Office Supplies,751.0,10,7510.0,Pending
2024-07-02,Ahmed Ali,sales@hub.com,Home Decor,3692.0,2,7384.0,Cancelled
2024-12-17,Huda Mansour,m.zaki@mail.com,Clothing,2965.0,10,29650.0,Refunded
2024-02-10,Huda Mansour,info@market.eg,Clothing,3818.0,3,11454.0,Shipped
2024-11-05,Mona Zaki,admin@tech.io,Electronics,947.0,4,3788.0,Cancelled
2024-04-17,Huda Mansour,info@market.eg,Books,2962.0,8,23696.0,Shipped
2024-07-24,Huda Mansour,info@market.eg,Electronics,4690.0,4,18760.0,Refunded
2024-07-04,Zainab Tarek,user1@mail.com,Groceries,1267.0,1,1267.0,Pending
2024-08-08,Marwan Khaled,sales@hub.com,Books,2894.0,8,23152.0,Cancelled
2024-04-14,Sara Ahmed,user1@mail.com,Electronics,2488.0,9,22392.0,Cancelled
2024-05-22,Zainab Tarek,contact@service.org,Office Supplies,651.0,6,3906.0,Completed
2024-12-10,Mona Zaki,test.a@web.net,Home Decor,2317.0,7,16219.0,Refunded
2024-03-19,Yomna Soror,test.a@web.net,Clothing,1706.0,8,13648.0,Refunded
2024-04-07,Sara Ahmed,info@market.eg,Home Decor,3314.0,1,3314.0,Completed
2024-02-15,Omar Farouk,m.zaki@mail.com,Clothing,305.0,4,1220.0,Refunded
2024-05-04,Ali Hassan,yomna.dev@email.com,Clothing,4138.0,4,16552.0,Pending
2024-05-17,Zainab Tarek,admin@tech.io,Clothing,2154.0,1,2154.0,Pending
2024-02-14,Mona Zaki,yomna.dev@email.com,Books,1779.0,7,12453.0,Shipped
2024-07-24,Huda Mansour,contact@service.org,Electronics,1272.0,5,6360.0,Shipped
2024-06-23,Layla Mohamed,sales@hub.com,Clothing,1871.0,6,11226.0,Shipped
2024-06-18,Yomna Soror,contact@service.org,Electronics,460.0,5,2300.0,Shipped
2024-12-23,Sara Ahmed,yomna.dev@email.com,Groceries,2082.0,6,12492.0,Pending
2024-07-26,Sara Ahmed,user1@mail.com,Electronics,1417.0,7,9919.0,Refunded
2024-01-23,Yomna Soror,admin@tech.io,Home Decor,2234.0,8,17872.0,Refunded
2024-10-09,Layla Mohamed,admin@tech.io,Electronics,180.0,8,1440.0,Pending
